Gene	TCGA-RZ-AB0B-01A-11R-A40B-13	TCGA-V3-A9ZX-01A-11R-A40B-13	TCGA-V3-A9ZY-01A-11R-A40B-13	TCGA-V4-A9E5-01A-11R-A40B-13	TCGA-V4-A9E7-01A-11R-A40B-13	TCGA-V4-A9E8-01A-11R-A40B-13	TCGA-V4-A9E9-01A-11R-A40B-13	TCGA-V4-A9EA-01A-11R-A40B-13	TCGA-V4-A9EC-01A-11R-A40B-13	TCGA-V4-A9ED-01A-11R-A40B-13	TCGA-V4-A9EE-01A-11R-A40B-13	TCGA-V4-A9EF-01A-21R-A40B-13	TCGA-V4-A9EH-01A-11R-A40B-13	TCGA-V4-A9EI-01A-11R-A40B-13	TCGA-V4-A9EJ-01A-11R-A40B-13	TCGA-V4-A9EK-01A-11R-A40B-13	TCGA-V4-A9EL-01A-11R-A40B-13	TCGA-V4-A9EM-01A-11R-A40B-13	TCGA-V4-A9EO-01A-12R-A40B-13	TCGA-V4-A9EQ-01A-11R-A40B-13	TCGA-V4-A9ES-01A-11R-A40B-13	TCGA-V4-A9ET-01A-11R-A40B-13	TCGA-V4-A9EU-01A-11R-A40B-13	TCGA-V4-A9EV-01A-11R-A40B-13	TCGA-V4-A9EW-01A-11R-A40B-13	TCGA-V4-A9EX-01A-11R-A40B-13	TCGA-V4-A9EY-01A-11R-A40B-13	TCGA-V4-A9EZ-01A-11R-A40B-13	TCGA-V4-A9F0-01A-11R-A40B-13	TCGA-V4-A9F1-01A-11R-A40B-13	TCGA-V4-A9F2-01A-11R-A40B-13	TCGA-V4-A9F3-01A-11R-A40B-13	TCGA-V4-A9F4-01A-11R-A40B-13	TCGA-V4-A9F5-01A-11R-A40B-13	TCGA-V4-A9F7-01A-11R-A40B-13	TCGA-V4-A9F8-01A-11R-A40B-13	TCGA-VD-A8K7-01B-11R-A40B-13	TCGA-VD-A8K8-01A-11R-A40B-13	TCGA-VD-A8K9-01A-11R-A40B-13	TCGA-VD-A8KA-01B-11R-A40B-13	TCGA-VD-A8KB-01A-11R-A40B-13	TCGA-VD-A8KD-01A-11R-A40B-13	TCGA-VD-A8KE-01A-11R-A40B-13	TCGA-VD-A8KF-01A-11R-A40B-13	TCGA-VD-A8KG-01A-11R-A40B-13	TCGA-VD-A8KH-01A-11R-A40B-13	TCGA-VD-A8KI-01A-11R-A40B-13	TCGA-VD-A8KJ-01A-11R-A40B-13	TCGA-VD-A8KK-01A-11R-A40B-13	TCGA-VD-A8KL-01A-11R-A40B-13	TCGA-VD-A8KM-01A-11R-A40B-13	TCGA-VD-A8KN-01A-11R-A40B-13	TCGA-VD-A8KO-01A-11R-A40B-13	TCGA-VD-AA8M-01A-11R-A40B-13	TCGA-VD-AA8N-01A-11R-A40B-13	TCGA-VD-AA8O-01A-11R-A40B-13	TCGA-VD-AA8P-01A-11R-A40B-13	TCGA-VD-AA8Q-01A-11R-A40B-13	TCGA-VD-AA8R-01A-11R-A40B-13	TCGA-VD-AA8S-01B-11R-A40B-13	TCGA-VD-AA8T-01A-11R-A40B-13	TCGA-WC-A87T-01A-11R-A40B-13	TCGA-WC-A87U-01A-11R-A40B-13	TCGA-WC-A87W-01A-11R-A40B-13	TCGA-WC-A87Y-01A-11R-A40B-13	TCGA-WC-A880-01A-11R-A40B-13	TCGA-WC-A881-01A-12R-A40B-13	TCGA-WC-A882-01A-11R-A40B-13	TCGA-WC-A883-01A-12R-A40B-13	TCGA-WC-A884-01A-11R-A40B-13	TCGA-WC-A885-01A-11R-A40B-13	TCGA-WC-A888-01A-11R-A40B-13	TCGA-WC-A88A-01A-11R-A40B-13	TCGA-WC-AA9A-01A-11R-A40B-13	TCGA-WC-AA9E-01A-11R-A40B-13	TCGA-YZ-A980-01A-11R-A40B-13	TCGA-YZ-A982-01A-11R-A40B-13	TCGA-YZ-A983-01A-11R-A40B-13	TCGA-YZ-A984-01A-11R-A40B-13	TCGA-YZ-A985-01A-11R-A40B-13
hsa-miR-409-3p|MIMAT0001639	67	42	3	12	2	12	3	NA	15	60	8	3	3	6	17	10	25	14	6	19	17	3	23	47	12	6	5	10	20	20	28	42	44	16	7	20	6	9	5	11	16	7	15	12	2	7	18	22	4	28	34	24	4	6	63	11	3	26	NA	60	9	3	14	5	164	11	2	35	81	124	7	19	17	1	19	308	18	1	50	6
hsa-miR-412-3p|MIMAT0002170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-410-3p|MIMAT0002171	31	9	NA	1	NA	NA	NA	NA	3	6	3	1	NA	2	NA	NA	3	1	NA	4	NA	2	5	13	3	NA	1	3	1	NA	6	32	31	3	7	2	2	2	5	3	21	6	8	5	NA	3	NA	NA	NA	5	4	1	1	1	26	9	4	11	1	15	3	NA	3	2	126	2	2	2	29	9	4	9	2	NA	2	45	7	NA	2	NA
hsa-miR-376b-3p|MIMAT0002172	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	1	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
hsa-miR-483-5p|MIMAT0004761	13	3	NA	1	1	1	1	NA	NA	1	1	NA	NA	2	NA	NA	3	1	2	NA	2	NA	2	8	NA	1	NA	NA	2	NA	NA	6	2	9	1	7	1	NA	NA	NA	NA	5	1	NA	NA	1	9	1	NA	9	17	9	1	1	3	9	NA	NA	NA	2	3	NA	NA	3	7	NA	NA	1	2	6	NA	NA	3	2	8	NA	2	NA	36	2
hsa-miR-483-3p|MIMAT0002173	5	NA	4	1	NA	NA	1	NA	NA	2	1	NA	NA	NA	NA	1	1	1	NA	NA	NA	1	1	7	NA	NA	NA	NA	1	2	NA	5	2	8	1	3	NA	2	NA	NA	NA	3	NA	NA	NA	NA	1	1	NA	5	11	3	NA	2	2	4	1	NA	NA	7	NA	NA	NA	1	2	NA	NA	NA	2	4	2	5	2	1	NA	NA	NA	NA	23	1
hsa-miR-484|MIMAT0002174	691	557	377	420	568	324	687	103	544	570	1109	374	424	364	383	440	1057	402	344	694	174	474	395	833	108	452	1060	94	437	450	177	571	253	438	580	366	213	660	317	178	223	612	527	201	254	273	676	371	625	333	1019	673	144	1034	439	1490	354	419	601	307	354	347	287	174	1628	431	160	103	1275	1780	531	937	413	227	168	602	246	237	264	181
hsa-miR-485-5p|MIMAT0002175	1	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	3	NA	NA	NA	NA	5	NA	NA	1	3	1	NA	NA	NA	NA	NA	24	1	NA	1	NA
hsa-miR-485-3p|MIMAT0002176	15	8	1	3	NA	1	2	NA	3	10	1	NA	1	3	2	2	NA	5	NA	5	1	NA	3	2	NA	3	2	2	2	4	NA	20	6	1	2	6	NA	2	NA	3	3	2	NA	1	NA	3	1	3	1	3	5	7	NA	3	7	NA	1	7	NA	18	4	3	6	2	101	3	NA	2	20	8	4	12	1	NA	5	228	19	NA	13	1
hsa-miR-486-5p|MIMAT0002177	1839	1149	215	423	1310	3038	3221	480	498	235	702	1360	1301	1033	712	266	3137	516	699	1334	570	494	11164	15963	1160	1936	247	877	308	226	351	2590	1231	225	613	6839	1564	1102	898	1887	1077	471	522	215	1721	1224	3661	404	3213	739	26613	2324	117	4719	737	330	776	374	193	451	490	1369	316	317	2280	5482	1956	1258	96222	774	130	461	1083	859	4015	631	1748	269	4939	660
hsa-miR-486-3p|MIMAT0004762	NA	NA	1	NA	2	NA	2	NA	1	1	1	NA	NA	4	NA	NA	1	1	1	3	NA	1	10	5	NA	1	NA	NA	NA	NA	NA	4	7	1	NA	2	NA	1	NA	NA	2	NA	1	NA	2	1	2	2	3	NA	25	1	1	2	1	NA	2	NA	NA	NA	2	NA	NA	NA	3	NA	1	NA	43	1	NA	2	NA	NA	6	NA	NA	NA	4	2
hsa-miR-487a-3p|MIMAT0002178	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	2	NA	1	NA
hsa-miR-488-5p|MIMAT0002804	3	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	10	NA	1	2	NA	NA	NA	NA	NA	NA	NA	1	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	1	NA	NA	NA	NA	NA	NA	59	NA	NA	2	4	11	NA	NA	1	NA	1	35	3	NA	1	NA
hsa-miR-488-3p|MIMAT0004763	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	17	2	NA	NA	NA
hsa-miR-489-3p|MIMAT0002805	NA	6	1	NA	1	NA	NA	NA	1	NA	4	1	NA	2	NA	NA	1	NA	NA	2	1	NA	2	4	NA	19	NA	NA	2	3	NA	8	NA	NA	NA	1	NA	13	NA	NA	NA	1	NA	5	1	5	NA	2	17	3	6	NA	NA	2	1	1	1	NA	NA	2	NA	NA	1	1	22	NA	NA	2	NA	3	NA	4	2	1	NA	4	NA	NA	NA	NA
hsa-miR-490-5p|MIMAT0004764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-490-3p|MIMAT0002806	2	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	43	1	NA	1	NA
hsa-miR-491-5p|MIMAT0002807	27	13	11	14	25	13	48	7	39	48	13	13	13	6	26	17	17	26	8	22	14	21	23	6	14	14	18	6	10	21	7	14	27	12	46	7	45	15	27	17	14	18	28	16	16	9	35	20	37	8	8	27	9	47	15	9	50	13	41	55	11	47	20	14	78	41	6	18	17	28	15	10	24	5	1	34	9	10	15	12
hsa-miR-491-3p|MIMAT0004765	11	1	7	6	2	6	4	NA	16	10	4	NA	1	NA	2	2	1	NA	3	3	2	6	4	2	1	13	1	NA	3	8	4	4	7	6	13	1	5	14	10	11	12	5	11	8	5	2	4	6	6	2	2	2	3	13	13	NA	28	13	17	24	3	5	12	6	18	6	3	NA	7	6	3	1	2	1	2	9	3	NA	1	3
hsa-miR-511-5p|MIMAT0002808	32	39	17	19	21	37	23	1	12	139	15	32	18	31	37	35	150	8	5	51	6	11	38	179	6	37	55	5	61	19	47	72	46	16	9	33	20	33	9	22	33	127	33	39	36	26	72	42	40	10	181	100	4	20	87	17	14	72	24	61	47	25	42	23	124	20	29	20	28	72	30	106	35	10	8	21	13	7	41	53
hsa-miR-146b-5p|MIMAT0002809	912	723	56	265	337	1255	176	69	261	603	1303	264	614	444	544	468	2268	206	164	1287	127	79	611	6022	183	328	299	265	778	1917	1064	1517	483	82	198	1227	185	2985	715	135	463	3845	1281	1193	389	789	651	387	756	974	7435	449	93	649	1400	619	176	908	127	922	627	294	68	714	4459	422	110	2083	2393	5822	122	3088	560	119	367	1547	472	70	362	190
hsa-miR-146b-3p|MIMAT0004766	119	136	15	69	39	208	122	23	65	195	264	34	110	83	121	131	406	114	10	76	17	53	86	938	99	70	41	54	169	176	164	300	297	15	35	124	104	267	67	46	61	399	93	151	60	96	79	102	84	50	513	173	12	59	200	210	34	132	29	189	94	32	24	114	532	48	55	136	255	513	58	428	72	36	58	310	46	16	104	65
hsa-miR-202-5p|MIMAT0002810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-202-3p|MIMAT0002811	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA
hsa-miR-492|MIMAT0002812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-493-5p|MIMAT0002813	22	12	NA	3	2	4	3	NA	8	31	5	3	NA	7	8	2	7	7	5	10	6	4	11	12	3	3	1	NA	9	6	6	10	14	5	4	20	4	2	1	4	5	5	8	NA	3	5	3	10	6	15	16	13	NA	12	21	5	2	6	NA	30	3	NA	2	5	97	7	NA	12	46	26	2	8	5	NA	3	58	6	2	15	5
hsa-miR-493-3p|MIMAT0003161	10	6	1	NA	NA	1	2	NA	3	4	NA	NA	NA	2	6	NA	5	4	NA	3	1	NA	6	5	1	NA	1	NA	NA	1	2	5	16	1	NA	4	1	NA	NA	4	2	1	2	NA	NA	NA	1	NA	NA	4	3	1	NA	2	4	3	NA	3	NA	4	4	NA	NA	2	24	1	NA	2	6	8	1	4	NA	NA	NA	14	3	NA	4	1
hsa-miR-432-5p|MIMAT0002814	30	51	NA	11	2	8	3	1	7	33	8	3	3	10	15	7	13	24	7	4	3	3	12	15	4	4	6	8	8	8	12	40	29	10	2	11	4	1	NA	7	11	2	10	6	2	7	5	9	5	8	22	16	NA	8	32	6	7	17	2	58	8	2	5	8	186	10	1	23	54	69	10	26	8	4	6	605	18	NA	35	8
hsa-miR-432-3p|MIMAT0002815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-494-3p|MIMAT0002816	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	1	NA	3	NA	NA	NA	NA	2	NA	NA	2	2	3	NA	NA	1	NA	NA	1	NA	NA	1	NA
hsa-miR-495-3p|MIMAT0002817	30	6	4	5	NA	4	3	1	2	9	4	NA	NA	1	5	NA	1	6	NA	3	4	2	6	10	5	3	NA	7	1	5	13	8	22	7	2	9	2	1	NA	3	NA	2	6	1	1	4	NA	2	NA	7	6	3	1	7	15	3	5	9	1	13	1	1	5	1	133	1	2	13	16	26	7	14	1	1	6	135	10	NA	12	2
hsa-miR-496|MIMAT0002818	4	6	1	2	NA	NA	1	NA	1	2	NA	1	NA	3	NA	NA	1	1	NA	1	NA	1	1	1	NA	2	NA	NA	1	NA	NA	4	8	NA	NA	NA	1	2	NA	1	1	4	NA	NA	NA	NA	1	4	NA	6	NA	1	NA	2	5	2	2	NA	NA	2	1	1	NA	NA	21	2	1	NA	5	10	NA	1	NA	NA	1	20	NA	NA	2	NA
hsa-miR-193b-5p|MIMAT0004767	59	40	29	13	91	23	20	1	49	27	39	26	43	27	8	22	54	16	33	39	20	34	16	58	18	32	19	25	29	31	26	51	25	47	52	39	14	14	5	9	22	32	8	22	18	3	36	29	33	18	88	63	10	45	66	22	36	55	50	10	29	50	20	53	103	26	22	15	30	40	7	31	55	20	22	47	16	2	14	43
hsa-miR-193b-3p|MIMAT0002819	938	247	224	159	1367	287	204	36	317	298	426	179	509	344	52	125	757	136	277	671	203	272	285	693	151	271	102	325	335	279	214	680	193	458	396	331	104	211	105	108	174	338	150	126	147	71	468	242	354	193	635	408	73	481	691	352	413	350	389	180	231	429	147	238	1050	215	213	75	1002	436	53	321	669	161	282	293	197	38	154	140
hsa-miR-497-5p|MIMAT0002820	154	11	12	15	66	18	32	2	18	25	74	4	38	28	14	4	50	39	11	88	21	62	22	70	21	33	12	27	39	16	18	60	65	44	23	46	23	74	71	23	73	119	22	36	10	37	21	9	20	48	42	64	6	21	73	62	99	13	16	39	26	7	13	50	81	9	102	8	91	28	17	38	54	36	16	7	45	4	22	5
hsa-miR-497-3p|MIMAT0004768	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	2	9	NA	NA	6	4	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-181d-5p|MIMAT0002821	244	105	104	150	166	64	147	81	234	87	271	36	140	46	74	30	88	253	73	157	133	183	93	246	195	53	101	27	126	30	181	143	368	50	292	134	549	75	546	153	193	277	273	121	47	273	45	88	79	101	182	76	90	450	61	47	176	172	290	105	255	766	165	363	748	71	83	184	200	324	100	91	23	90	22	244	92	33	69	56
hsa-miR-512-5p|MIMAT0002822	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-512-3p|MIMAT0002823	NA	NA	6	1	NA	1	10	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	5	NA	NA	1	NA	1	NA	NA	NA	NA	NA	7	NA	NA	NA	6	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	9	NA	NA	NA	6	NA	1	NA	NA	NA	NA	NA	2	1	NA	6	NA	NA	NA	12	NA	NA	NA	2	NA	NA	NA	NA	2
hsa-miR-498|MIMAT0002824	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-520e|MIMAT0002825	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-515-5p|MIMAT0002826	NA	NA	2	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-515-3p|MIMAT0002827	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519e-5p|MIMAT0002828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519e-3p|MIMAT0002829	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-520f-3p|MIMAT0002830	NA	NA	2	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519c-5p|MIMAT0002831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-519c-3p|MIMAT0002832	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-520a-5p|MIMAT0002833	NA	NA	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	5	NA	NA	NA	NA	2	1	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	7	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-520a-3p|MIMAT0002834	NA	NA	13	1	NA	2	17	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	NA	1	NA	5	NA	NA	NA	NA	NA	1	NA	NA	NA	1	10	NA	1	NA	12	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	12	1	1	NA	NA	2	NA	NA	NA	1	NA	7	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	2	NA	NA
hsa-miR-526b-5p|MIMAT0002835	NA	NA	26	NA	NA	9	44	1	2	NA	NA	NA	3	NA	NA	NA	NA	23	NA	NA	1	15	NA	NA	5	NA	2	4	NA	1	NA	1	20	NA	NA	NA	19	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	42	NA	2	NA	17	NA	2	1	NA	3	NA	1	4	2	1	14	NA	NA	NA	49	NA	NA	NA	5	NA	NA	NA	NA	NA
hsa-miR-526b-3p|MIMAT0002836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
