Gene	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-miR-764|MIMAT0010367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-759|MIMAT0010497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-765|MIMAT0003945	NA	7	1	5	2	1	NA	1	NA	NA	3	NA	3	NA	NA	2	2	2	3	6	2	NA	2	1	NA	2	2	2	NA	NA	3	3	1	1	1	NA	3	2	2	2	1	1	1	1	2	3	1	1	6	3	2	NA	2	NA	NA	NA
hsa-miR-770-5p|MIMAT0003948	NA	92	NA	NA	NA	3	NA	5	14	NA	4	6	NA	NA	16	NA	NA	NA	NA	NA	14	8	NA	3	4	NA	4	NA	NA	NA	NA	NA	6	1	NA	NA	NA	28	9	1	NA	1	NA	26	7	12	NA	NA	9	8	NA	NA	NA	NA	NA	NA
hsa-miR-675-5p|MIMAT0004284	NA	2	NA	20	NA	3	1	NA	NA	NA	37	1	2	6	NA	NA	NA	24	4	NA	NA	NA	1	15	NA	20	NA	2	33	1	3	4	NA	25	NA	1	1	NA	2	2	39	NA	NA	NA	55	NA	7	NA	NA	NA	NA	1	1	1	NA	NA
hsa-miR-675-3p|MIMAT0006790	33	786	42	7817	11	658	817	207	43	158	9917	310	762	820	48	8	165	4798	1561	29	110	26	40	1665	28	3728	158	796	12874	104	134	1455	120	7626	70	63	313	31	342	1108	9987	133	45	216	19612	74	5453	207	16	25	50	20	70	40	60	42
hsa-miR-298|MIMAT0004901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-891a-5p|MIMAT0004902	1166	173	65	23	33	3	5	49	74	8	405	3	159	59	1057	3	254	10	366	31	189	1875	179	16	634	2	669	28	7	1764	268	474	7	22	14	22	181	2599	105	17	646	258	162	2025	14	4	5	16	9667	262	9	1772	21	88	61	92
hsa-miR-300|MIMAT0004903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-892a|MIMAT0004907	27	1	3	NA	4	NA	1	NA	1	NA	11	NA	3	NA	14	NA	3	NA	14	NA	4	22	5	NA	14	1	4	1	NA	28	2	15	NA	1	NA	1	4	68	5	NA	21	3	3	55	NA	NA	NA	NA	243	8	NA	50	1	2	NA	3
hsa-miR-450b-5p|MIMAT0004909	895	1084	1075	460	998	188	27	241	615	353	699	979	400	203	84	380	29	188	1056	317	534	134	153	200	146	165	3458	93	627	716	410	43	391	398	211	67	63	37	3883	499	330	186	326	1516	745	113	100	856	314	320	791	341	378	66	57	116
hsa-miR-450b-3p|MIMAT0004910	NA	2	NA	1	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	3	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	4	NA	1	NA	NA	3	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA
hsa-miR-874-3p|MIMAT0004911	191	69	401	128	226	195	96	229	161	104	315	300	109	88	107	176	370	191	180	483	59	85	135	100	170	194	198	63	65	126	302	232	50	112	128	45	53	962	210	99	90	234	250	180	95	206	23	102	1004	239	165	133	27	307	256	165
hsa-miR-890|MIMAT0004912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	9	NA	NA	2	NA	NA	NA	NA
hsa-miR-891b|MIMAT0004913	7	5	NA	1	NA	NA	NA	NA	1	1	7	NA	NA	NA	9	NA	5	NA	5	NA	NA	11	2	NA	13	NA	2	2	NA	23	5	6	NA	NA	1	NA	3	28	NA	NA	4	4	3	35	NA	NA	NA	NA	127	NA	NA	27	NA	2	NA	1
hsa-miR-888-5p|MIMAT0004916	9	1	1	NA	1	NA	NA	NA	1	NA	8	NA	NA	NA	7	NA	1	NA	5	NA	5	17	2	NA	4	NA	1	1	NA	15	NA	2	NA	NA	NA	NA	NA	54	1	NA	4	2	NA	20	NA	NA	NA	NA	93	1	NA	11	NA	2	1	NA
hsa-miR-888-3p|MIMAT0004917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-892b|MIMAT0004918	14	NA	1	NA	NA	NA	NA	NA	1	NA	10	1	1	NA	NA	NA	1	NA	4	2	NA	6	NA	NA	4	NA	NA	NA	NA	7	NA	5	NA	NA	NA	NA	2	14	NA	NA	1	3	NA	10	NA	NA	NA	1	74	NA	NA	17	NA	1	NA	NA
hsa-miR-541-5p|MIMAT0004919	1	61	NA	NA	NA	11	NA	3	2	NA	24	6	NA	8	1	NA	NA	NA	NA	NA	12	2	NA	6	NA	NA	11	3	NA	NA	NA	NA	4	5	1	NA	1	13	18	2	NA	NA	NA	34	30	6	NA	NA	3	1	NA	NA	1	NA	NA	NA
hsa-miR-541-3p|MIMAT0004920	4	2112	7	NA	2	66	11	102	55	1	1081	148	3	75	54	5	NA	7	NA	1	790	37	2	80	33	NA	564	16	2	3	2	1	200	63	20	NA	10	207	920	99	41	9	2	1690	443	80	1	21	298	60	1	2	76	2	1	2
hsa-miR-889-3p|MIMAT0004921	48	6351	105	7	32	902	325	644	588	20	2979	2793	47	1173	1150	37	4	65	9	33	3732	304	27	515	437	4	2273	430	5	30	48	27	2204	413	83	12	111	2939	3918	526	145	168	57	2956	2523	1248	50	47	1401	802	34	12	305	8	44	20
hsa-miR-875-5p|MIMAT0004922	NA	NA	NA	NA	NA	1	NA	42	NA	NA	NA	NA	6	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	2	55	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-875-3p|MIMAT0004923	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-876-5p|MIMAT0004924	3	3	NA	1	1	3	NA	NA	6	6	6	1	5	NA	NA	NA	1	3	NA	9	NA	1	2	1	5	1	2	5	12	8	3	2	1	5	11	1	NA	2	NA	2	1	NA	1	11	1	5	NA	9	27	1	NA	2	NA	NA	3	NA
hsa-miR-876-3p|MIMAT0004925	4	1	NA	NA	NA	2	NA	NA	3	1	5	NA	4	NA	NA	NA	NA	3	NA	6	NA	NA	NA	NA	2	NA	NA	2	4	9	2	3	3	3	NA	NA	NA	4	1	NA	2	1	NA	13	3	3	NA	4	31	6	NA	NA	NA	NA	1	NA
hsa-miR-708-5p|MIMAT0004926	1570	559	828	520	882	72	21	654	670	538	291	19	504	1168	116	510	38	421	424	1123	583	874	124	396	427	811	1928	456	673	878	674	310	2420	614	1268	1219	476	534	1141	625	734	380	47	418	763	955	251	555	500	1147	256	245	260	104	165	449
hsa-miR-708-3p|MIMAT0004927	2852	864	1627	1246	1876	115	51	636	840	2080	474	38	734	2363	160	935	96	1366	1123	3161	1173	3086	136	785	974	2067	3107	311	1452	1776	1399	576	2212	1273	3083	2803	1082	795	2304	1610	1788	823	111	525	1836	1316	2228	1620	1414	1659	1225	384	407	141	263	850
hsa-miR-147b|MIMAT0004928	2	4	1	1	1	1	NA	NA	NA	1	NA	1	NA	NA	1	NA	2	1	NA	4	NA	1	2	1	1	NA	NA	NA	2	NA	1	1	NA	1	NA	3	NA	1	2	NA	NA	NA	1	NA	4	NA	NA	NA	NA	1	NA	2	2	NA	2	NA
hsa-miR-190b|MIMAT0004929	10	25	30	3	2	5	1	3	3	2	4	4	4	1	7	2	31	NA	16	1	8	1	5	2	3	3	4	3	4	4	3	3	17	1	16	2	NA	3	21	7	NA	3	NA	9	4	2	1	5	5	1	1	3	12	17	5	NA
hsa-miR-744-5p|MIMAT0004945	184	139	211	197	183	119	36	69	264	158	187	124	167	116	31	89	113	53	238	108	34	37	218	192	171	185	55	77	53	79	98	107	88	92	51	58	76	74	100	49	118	111	95	107	97	134	97	171	260	235	97	107	49	78	169	316
hsa-miR-744-3p|MIMAT0004946	263	125	124	127	116	168	27	120	176	354	148	166	162	47	59	65	114	56	126	166	48	64	103	131	154	114	203	59	62	94	66	45	134	66	178	54	46	80	62	50	98	58	181	70	136	122	55	264	92	186	238	76	35	38	49	122
hsa-miR-885-5p|MIMAT0004947	24	36	142	NA	16	15	NA	9	5	83	NA	3	4	233	1	NA	20	16	10	55	2	19	292	2	2	14	21	23	32	13	5	36	7	9	26	3	51	270	3	23	5	26	94	21	5	27	NA	8	23	10	12	138	8	14	140	8
hsa-miR-885-3p|MIMAT0004948	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	2	NA	NA	NA	1	NA	NA	1	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA
hsa-miR-877-5p|MIMAT0004949	53	94	41	78	29	71	4	34	29	46	118	19	17	34	5	79	17	25	32	51	38	13	13	22	18	40	36	25	31	19	13	18	73	47	65	14	34	5	25	21	26	11	19	96	39	19	37	28	30	25	30	26	31	14	2	51
hsa-miR-877-3p|MIMAT0004950	4	10	2	5	3	2	NA	2	4	4	5	1	2	2	NA	6	1	7	3	3	5	1	4	2	1	2	2	NA	3	NA	2	1	4	1	4	1	4	1	NA	NA	1	NA	1	4	4	1	1	4	2	NA	1	1	5	1	1	NA
hsa-miR-887-3p|MIMAT0004951	652	822	135	9	92	403	4	13	124	187	669	7	375	147	70	9	196	503	193	323	664	179	12	44	145	50	825	161	1	504	215	144	42	14	444	4	28	27	26	144	5	32	78	828	561	13	18	863	57	385	25	248	300	51	13	369
hsa-miR-665|MIMAT0004952	NA	78	NA	NA	NA	12	5	9	4	NA	42	15	NA	5	2	NA	NA	NA	NA	NA	74	8	NA	7	4	NA	29	1	NA	NA	1	NA	15	5	NA	NA	NA	36	65	7	NA	NA	NA	5	12	6	2	NA	14	5	NA	NA	1	NA	NA	NA
hsa-miR-873-5p|MIMAT0004953	10	4	1	1	NA	8	NA	NA	8	3	6	NA	4	1	1	NA	NA	2	NA	12	NA	1	7	2	8	NA	7	6	7	10	10	8	6	1	8	NA	NA	8	1	NA	2	1	NA	6	1	10	NA	10	40	11	NA	1	NA	1	6	NA
hsa-miR-543|MIMAT0004954	3	772	10	NA	NA	57	22	114	78	3	174	395	2	46	242	2	NA	3	NA	4	326	19	1	8	50	NA	121	31	NA	2	4	NA	55	38	5	1	9	161	351	115	13	11	1	122	194	26	NA	7	109	57	NA	NA	24	NA	2	1
hsa-miR-374b-5p|MIMAT0004955	340	471	937	523	1089	556	376	351	658	307	384	518	313	328	312	231	476	562	425	602	186	279	448	273	302	524	761	965	470	215	569	483	728	597	266	338	337	1076	280	166	460	286	310	373	531	788	186	232	549	479	685	413	411	276	439	347
hsa-miR-374b-3p|MIMAT0004956	11	21	26	19	24	15	16	10	16	8	26	11	5	8	5	8	14	14	17	22	6	14	17	10	9	11	24	11	15	10	21	11	17	23	7	6	8	36	13	5	13	10	7	13	13	22	7	6	22	13	36	18	6	3	10	12
hsa-miR-760|MIMAT0004957	17	34	16	19	22	5	NA	9	15	9	46	16	11	18	4	17	2	8	17	38	5	14	6	15	7	9	58	3	4	23	25	9	16	20	31	10	13	14	12	3	34	7	22	18	13	9	8	47	24	13	10	3	7	3	4	7
hsa-miR-301b-3p|MIMAT0004958	110	149	48	123	237	62	12	145	71	74	159	223	196	87	28	114	35	65	13	259	72	25	20	9	44	61	177	63	89	76	109	25	240	90	229	5	61	31	82	19	39	8	127	100	116	64	25	175	90	116	27	29	34	7	33	25
hsa-miR-216b-5p|MIMAT0004959	NA	8	13	NA	4	NA	NA	NA	2	10	NA	1	NA	4	1	NA	21	3	4	2	NA	1	1	1	NA	6	4	3	NA	3	11	2	6	2	10	2	NA	5	3	1	14	1	NA	21	10	27	NA	1	13	10	NA	14	6	4	NA	NA
hsa-miR-208b-3p|MIMAT0004960	11	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	10	1	NA	NA	NA	NA	12	NA	35	1	NA	NA	188	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	10	NA	NA	NA
hsa-miR-920|MIMAT0004970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-921|MIMAT0004971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-922|MIMAT0004972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-924|MIMAT0004974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-509-3-5p|MIMAT0004975	3	NA	2	NA	2	NA	NA	5	NA	NA	2	9	NA	NA	NA	NA	4	2	7	4	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	27	1	NA	3	1	NA	NA	4	NA	NA	NA	5	NA	2	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA
hsa-miR-933|MIMAT0004976	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-934|MIMAT0004977	NA	1	NA	1	19	NA	NA	NA	3	4	4	5	3	1	1	1	14	26	3	16	NA	NA	15	4	3	2	NA	2	NA	1	4	11	1	7	3	NA	6	1	2	NA	1	3	NA	4	4	NA	NA	NA	4	11	NA	4	NA	2	24	3
hsa-miR-935|MIMAT0004978	9	5	637	2	5	58	1	340	168	307	13	10	91	12	6	7	15	57	5	43	9	18	6	28	118	203	211	9	2	NA	4	106	43	13	78	NA	21	1	83	95	1	45	585	6	6	7	8	264	1	5	5	9	1	104	177	13
hsa-miR-936|MIMAT0004979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-937-3p|MIMAT0004980	22	18	50	24	7	14	1	3	12	9	9	25	10	22	10	5	NA	10	38	64	7	12	6	17	8	19	14	5	7	16	3	5	6	5	47	3	39	11	11	11	24	8	28	14	8	1	17	36	13	12	16	50	9	7	18	21
hsa-miR-938|MIMAT0004981	1	1	1	2	1	1	2	NA	NA	1	2	NA	1	1	NA	1	NA	NA	NA	4	NA	1	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	5	2	NA	NA	4	NA	NA	1	1	1	NA	3	NA	NA	NA	2
hsa-miR-939-5p|MIMAT0004982	7	3	9	6	3	4	3	7	6	7	7	13	3	8	2	7	6	2	3	8	7	4	2	9	1	4	4	7	1	14	2	2	5	4	6	2	13	6	7	7	4	5	13	2	6	2	1	4	3	5	8	3	4	4	4	14
hsa-miR-940|MIMAT0004983	83	29	27	27	59	17	5	46	14	42	71	45	38	14	4	17	12	67	11	48	6	6	16	12	18	26	106	33	12	19	35	12	64	36	80	2	15	13	18	8	70	13	75	34	19	25	4	38	9	66	35	22	16	18	30	41
hsa-miR-941|MIMAT0004984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-942-5p|MIMAT0004985	28	55	79	27	39	36	22	13	22	40	21	56	19	40	14	22	33	8	34	31	15	49	49	31	12	65	50	39	35	17	74	18	39	23	30	32	22	32	103	26	53	22	64	6	43	50	14	61	30	60	40	17	31	21	21	19
hsa-miR-943|MIMAT0004986	3	NA	1	1	1	NA	NA	NA	NA	NA	3	3	NA	1	NA	NA	1	2	1	3	NA	NA	NA	NA	NA	1	NA	1	2	1	NA	NA	NA	1	1	1	1	NA	NA	NA	1	NA	NA	3	NA	NA	NA	1	NA	2	NA	NA	1	3	NA	1
hsa-miR-944|MIMAT0004987	25	24	6	3	21	23	1	9	6	21	1	1	4	4	72	3	2	20	11	6	66	NA	10	20	NA	5	41	5	2	13	6	21	78	4	22	7	1	NA	100	16	2	NA	2	29	9	1	3	19	10	7	6	5	7	1	3	3
hsa-miR-297|MIMAT0004450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1178-3p|MIMAT0005823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1179|MIMAT0005824	8	4	4	1	5	2	1	NA	1	1	NA	1	4	1	NA	NA	5	4	4	NA	1	NA	1	3	NA	NA	4	NA	NA	NA	3	NA	6	8	5	NA	NA	1	3	1	2	1	NA	NA	6	3	NA	2	1	3	1	2	NA	1	NA	NA
hsa-miR-1180-3p|MIMAT0005825	193	248	247	186	313	75	51	262	336	166	218	375	134	138	34	155	446	126	183	317	115	70	127	419	314	219	356	132	260	184	100	92	386	57	194	104	168	267	397	136	144	59	165	108	210	390	323	227	135	212	40	89	185	176	96	206
hsa-miR-1181|MIMAT0005826	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA
hsa-miR-1182|MIMAT0005827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1183|MIMAT0005828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1184|MIMAT0005829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1225-5p|MIMAT0005572	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	1	3	NA	NA	NA	2	1	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-1225-3p|MIMAT0005573	NA	3	2	NA	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	1	NA	NA	1	4	NA	NA	6	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA
hsa-miR-1226-5p|MIMAT0005576	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1226-3p|MIMAT0005577	25	90	18	15	48	8	9	4	20	18	116	32	16	23	3	44	14	26	12	43	97	17	4	14	12	37	137	7	29	73	39	14	21	69	60	11	20	18	44	21	17	15	10	84	60	35	9	66	19	38	7	11	50	4	8	9
hsa-miR-1227-3p|MIMAT0005580	1	4	NA	1	NA	NA	NA	2	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	1	NA	1	NA	1	NA	2	NA	1	NA	1	1	1	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA
hsa-miR-1228-5p|MIMAT0005582	9	25	6	19	4	2	1	NA	2	2	12	3	8	4	1	7	3	1	9	12	16	2	4	1	5	2	13	NA	3	19	8	1	10	9	25	NA	1	5	11	11	11	2	NA	19	24	1	1	12	2	5	9	3	10	1	3	6
hsa-miR-1228-3p|MIMAT0005583	12	48	12	14	2	6	2	5	7	4	12	10	9	2	1	8	3	4	7	21	7	4	2	3	3	2	4	3	13	30	6	4	10	5	30	3	2	5	9	12	7	3	3	24	27	NA	1	6	5	2	6	4	7	3	1	10
hsa-miR-1229-3p|MIMAT0005584	4	22	9	9	10	7	2	15	2	3	25	5	3	13	1	18	2	21	7	29	6	NA	3	8	NA	8	16	1	62	19	20	5	5	15	11	7	8	7	1	2	2	2	5	53	18	3	4	26	8	4	1	8	10	5	3	2
hsa-miR-1231|MIMAT0005586	1	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
