Gene	TCGA-3X-AAV9-01A-72R-A41D-13	TCGA-3X-AAVA-01A-11R-A41D-13	TCGA-3X-AAVB-01A-31R-A41D-13	TCGA-3X-AAVC-01A-21R-A41D-13	TCGA-3X-AAVE-01A-11R-A41D-13	TCGA-4G-AAZO-01A-12R-A41D-13	TCGA-4G-AAZT-01A-11R-A41D-13	TCGA-W5-AA2G-01A-11R-A41D-13	TCGA-W5-AA2H-01A-31R-A41D-13	TCGA-W5-AA2I-01A-32R-A41D-13	TCGA-W5-AA2I-11A-11R-A41D-13	TCGA-W5-AA2O-01A-11R-A41D-13	TCGA-W5-AA2Q-01A-11R-A41D-13	TCGA-W5-AA2Q-11A-11R-A41D-13	TCGA-W5-AA2R-01A-11R-A41D-13	TCGA-W5-AA2R-11A-11R-A41D-13	TCGA-W5-AA2T-01A-12R-A41D-13	TCGA-W5-AA2U-01A-11R-A41D-13	TCGA-W5-AA2U-11A-11R-A41D-13	TCGA-W5-AA2W-01A-11R-A41D-13	TCGA-W5-AA2X-01A-11R-A41D-13	TCGA-W5-AA2X-11A-11R-A41D-13	TCGA-W5-AA2Z-01A-11R-A41D-13	TCGA-W5-AA30-01A-31R-A41D-13	TCGA-W5-AA30-11A-11R-A41D-13	TCGA-W5-AA31-01A-11R-A41D-13	TCGA-W5-AA31-11A-11R-A41D-13	TCGA-W5-AA33-01A-11R-A41D-13	TCGA-W5-AA34-01A-11R-A41D-13	TCGA-W5-AA34-11A-11R-A41D-13	TCGA-W5-AA36-01A-11R-A41D-13	TCGA-W5-AA38-01A-11R-A41D-13	TCGA-W5-AA39-01A-11R-A41D-13	TCGA-W6-AA0S-01A-11R-A41D-13	TCGA-WD-A7RX-01A-12R-A41D-13	TCGA-YR-A95A-01A-12R-A41D-13	TCGA-ZD-A8I3-01A-11R-A41D-13	TCGA-ZH-A8Y1-01A-11R-A41D-13	TCGA-ZH-A8Y2-01A-11R-A41D-13	TCGA-ZH-A8Y4-01A-11R-A41D-13	TCGA-ZH-A8Y5-01A-11R-A41D-13	TCGA-ZH-A8Y6-01A-11R-A41D-13	TCGA-ZH-A8Y8-01A-51R-A41D-13	TCGA-ZU-A8S4-01A-11R-A41D-13	TCGA-ZU-A8S4-11A-11R-A41D-13
hsa-miR-568|MIMAT0003232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-551b-5p|MIMAT0004794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-551b-3p|MIMAT0003233	2	3	15	8	8	1	3	11	12	10	7	1	2	4	4	42	NA	3	16	3	2	16	5	NA	78	11	23	5	2	7	6	1	1	2	5	NA	2	4	NA	1	4	2	1	NA	8
hsa-miR-569|MIMAT0003234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-570-3p|MIMAT0003235	4	9	NA	7	1	2	4	4	2	3	1	2	3	1	NA	5	6	3	7	8	8	1	3	3	7	3	NA	4	3	4	1	4	NA	3	6	1	4	3	5	1	2	4	NA	1	3
hsa-miR-571|MIMAT0003236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-572|MIMAT0003237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-573|MIMAT0003238	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-574-5p|MIMAT0004795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-574-3p|MIMAT0003239	304	211	573	336	383	260	419	335	240	572	445	106	704	871	294	974	959	514	1080	248	281	1312	480	575	1076	437	766	252	363	647	303	254	658	357	389	330	543	537	430	297	696	130	324	368	1584
hsa-miR-575|MIMAT0003240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-576-5p|MIMAT0003241	68	87	65	66	46	86	105	39	52	71	42	16	27	112	37	127	130	56	112	29	41	100	73	115	116	36	71	42	47	88	47	19	24	59	104	27	33	45	52	50	33	61	95	72	136
hsa-miR-576-3p|MIMAT0004796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-577|MIMAT0003242	8	6	32	153	20	1	2	23	34	16	NA	18	NA	6	1	NA	NA	6	NA	2	26	NA	5	526	9	1	1	13	144	3	3	36	1	NA	6	2	NA	8	5	2	NA	NA	17	80	5
hsa-miR-578|MIMAT0003243	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
hsa-miR-579-3p|MIMAT0003244	2	NA	1	NA	NA	2	NA	NA	NA	2	NA	NA	1	1	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	4	NA	3	NA	1	1	NA	NA	2	1	NA
hsa-miR-580-3p|MIMAT0003245	4	NA	3	5	1	2	9	3	1	5	2	1	2	4	2	9	5	3	3	3	6	2	6	2	7	2	2	3	4	2	1	3	8	2	5	2	1	1	7	2	1	5	13	3	5
hsa-miR-581|MIMAT0003246	3	2	NA	3	1	NA	4	2	4	4	NA	1	1	NA	2	3	4	3	2	NA	3	2	2	1	2	2	NA	2	2	2	6	1	NA	1	2	NA	1	NA	2	2	NA	4	2	2	4
hsa-miR-582-5p|MIMAT0003247	65	24	39	53	20	17	37	26	29	73	21	19	3	85	24	46	20	21	76	13	102	77	44	40	72	32	31	42	24	28	17	9	4	53	61	32	79	21	36	18	12	15	51	53	70
hsa-miR-582-3p|MIMAT0004797	1246	271	406	1048	300	170	618	418	492	462	435	226	116	1158	300	749	250	375	1098	115	1516	951	561	374	1442	369	624	638	310	618	220	100	129	455	628	416	1536	229	546	339	133	120	517	665	760
hsa-miR-583|MIMAT0003248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-584-5p|MIMAT0003249	306	141	114	180	266	43	161	178	121	116	89	328	148	231	77	222	735	401	144	273	834	225	121	113	241	383	183	281	125	179	81	105	82	99	131	185	460	335	904	900	302	212	735	914	232
hsa-miR-585-3p|MIMAT0003250	NA	1	1	3	NA	5	3	NA	1	1	NA	NA	NA	NA	1	NA	1	4	NA	17	2	NA	NA	1	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	4	NA	NA
hsa-miR-548a-3p|MIMAT0003251	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-586|MIMAT0003252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-587|MIMAT0003253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548b-5p|MIMAT0004798	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548b-3p|MIMAT0003254	2	1	1	2	2	NA	NA	1	3	1	1	1	3	31	3	29	5	1	6	NA	4	1	1	NA	3	2	7	1	1	10	NA	2	20	NA	3	1	1	3	NA	NA	1	1	2	1	21
hsa-miR-588|MIMAT0003255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-589-5p|MIMAT0004799	209	275	156	262	287	90	218	305	289	358	76	149	133	215	191	252	836	421	153	249	256	184	130	138	224	163	137	217	255	130	201	442	324	215	178	253	222	144	402	394	249	137	293	216	260
hsa-miR-589-3p|MIMAT0003256	6	8	8	8	10	3	8	9	7	14	2	3	6	5	5	8	11	7	4	1	6	1	7	8	11	4	7	3	5	4	8	3	3	6	10	7	5	6	10	7	3	3	12	6	4
hsa-miR-550a-5p|MIMAT0004800	3	6	9	18	1	4	12	5	7	8	2	2	3	8	4	5	25	8	5	8	18	9	7	7	12	4	9	14	9	6	23	16	3	19	9	7	15	6	13	12	10	13	13	6	6
hsa-miR-550a-3p|MIMAT0003257	4	2	9	17	6	4	10	8	2	17	4	10	7	4	5	4	39	17	6	10	19	9	8	6	8	7	4	8	17	8	18	17	4	15	15	5	12	13	19	20	4	10	10	4	13
hsa-miR-590-5p|MIMAT0003258	45	65	43	126	53	47	98	46	84	107	32	24	59	95	44	67	108	35	85	44	113	85	48	90	85	26	43	44	74	48	33	48	40	46	71	42	46	47	93	60	44	50	105	68	86
hsa-miR-590-3p|MIMAT0004801	14	19	19	26	19	18	25	13	70	34	9	3	10	42	21	42	45	25	42	31	28	37	13	27	30	9	29	30	15	18	13	27	28	12	36	18	14	11	38	37	19	13	46	17	36
hsa-miR-591|MIMAT0003259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-592|MIMAT0003260	4	24	5	70	176	78	887	34	2	1476	4	302	33	8	5	13	85	7	4	31	8	19	12	211	29	12	31	5	29	61	71	66	3	4	9	10	95	56	42	59	13	4	11	39	41
hsa-miR-593-5p|MIMAT0003261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-593-3p|MIMAT0004802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-595|MIMAT0003263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-596|MIMAT0003264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-597-5p|MIMAT0003265	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-598-3p|MIMAT0003266	137	300	154	50	317	174	368	30	92	400	36	40	130	83	154	65	1406	206	62	249	18	114	170	216	102	81	44	69	313	46	151	69	171	154	181	126	176	306	406	105	252	371	177	157	109
hsa-miR-599|MIMAT0003267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548a-5p|MIMAT0004803	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-600|MIMAT0003268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-601|MIMAT0003269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-602|MIMAT0003270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-603|MIMAT0003271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2
hsa-miR-604|MIMAT0003272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-605-5p|MIMAT0003273	1	1	NA	1	1	1	2	NA	1	NA	NA	NA	3	1	2	NA	3	3	1	1	NA	NA	2	NA	2	2	2	1	NA	NA	1	1	NA	NA	1	NA	1	2	1	NA	1	NA	NA	4	NA
hsa-miR-606|MIMAT0003274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-607|MIMAT0003275	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1
hsa-miR-608|MIMAT0003276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-609|MIMAT0003277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-610|MIMAT0003278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-611|MIMAT0003279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-612|MIMAT0003280	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-613|MIMAT0003281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-614|MIMAT0003282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-615-5p|MIMAT0004804	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-615-3p|MIMAT0003283	3	NA	5	47	NA	4	3	NA	3	1	NA	NA	NA	NA	NA	NA	113	2	NA	2	25	NA	1	24	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	12	9	36	1	3	NA	NA	1	NA
hsa-miR-616-5p|MIMAT0003284	2	22	13	16	16	9	9	13	7	6	15	6	5	19	13	31	24	15	14	10	7	21	10	30	28	3	22	2	12	28	13	32	43	16	18	5	15	9	25	14	4	23	7	5	21
hsa-miR-616-3p|MIMAT0004805	2	4	3	6	7	3	5	8	4	4	6	NA	2	17	2	21	10	7	4	8	2	14	4	4	13	1	17	3	7	12	7	5	16	2	4	5	12	5	5	11	2	5	7	8	22
hsa-miR-548c-5p|MIMAT0004806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548c-3p|MIMAT0003285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-617|MIMAT0003286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-618|MIMAT0003287	3	2	NA	4	1	1	4	4	5	42	6	6	2	31	4	30	4	2	26	2	10	15	4	3	29	4	14	6	20	12	16	NA	1	3	11	1	1	4	12	3	2	2	10	8	27
hsa-miR-619-3p|MIMAT0003288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-620|MIMAT0003289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-621|MIMAT0003290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-622|MIMAT0003291	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-623|MIMAT0003292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-624-5p|MIMAT0003293	4	4	4	10	2	4	6	4	6	10	8	4	3	39	2	23	5	10	15	10	10	18	7	3	18	10	10	8	8	5	3	7	2	6	7	7	10	13	5	10	6	9	6	5	28
hsa-miR-624-3p|MIMAT0004807	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-625-5p|MIMAT0003294	8	4	12	29	10	4	8	6	30	8	1	2	3	5	14	6	15	15	3	5	16	10	3	2	8	6	3	10	7	2	6	15	9	7	6	4	5	13	8	6	5	8	8	15	6
hsa-miR-625-3p|MIMAT0004808	1228	275	1256	1341	340	136	329	163	1337	413	45	74	98	176	545	118	277	324	100	404	1236	192	269	204	182	171	126	366	183	35	126	210	65	181	496	187	403	454	252	200	121	292	441	536	126
hsa-miR-626|MIMAT0003295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-627-5p|MIMAT0003296	11	9	11	9	6	4	11	3	4	12	3	3	2	5	1	13	6	14	5	4	11	7	4	8	4	NA	3	5	NA	1	2	1	3	3	6	3	6	3	3	4	1	7	11	7	6
hsa-miR-628-5p|MIMAT0004809	32	28	38	23	33	28	29	12	26	50	11	11	13	48	21	30	49	24	28	27	23	28	37	48	40	8	31	13	13	39	49	35	33	24	46	25	25	14	119	31	14	60	32	22	51
hsa-miR-628-3p|MIMAT0003297	8	10	18	2	3	17	5	2	2	10	1	1	NA	9	4	4	8	4	4	5	3	5	20	13	1	2	1	1	3	NA	4	1	4	5	19	2	4	6	7	8	4	3	10	2	3
hsa-miR-629-5p|MIMAT0004810	605	192	334	850	125	153	389	262	572	448	82	108	190	271	348	397	596	345	303	389	914	270	242	209	378	262	161	154	234	161	179	403	172	193	292	219	400	366	267	417	107	322	449	471	372
hsa-miR-629-3p|MIMAT0003298	13	10	14	62	36	10	20	8	51	20	4	7	6	7	22	17	18	34	14	46	37	12	15	25	13	13	7	11	6	7	15	19	7	9	41	13	25	5	17	38	18	13	14	34	15
hsa-miR-630|MIMAT0003299	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-631|MIMAT0003300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-33b-5p|MIMAT0003301	NA	7	8	27	6	10	16	4	8	41	24	6	23	56	5	75	50	19	49	30	24	46	6	15	68	13	22	14	6	46	29	29	46	1	25	25	40	38	11	7	22	14	9	6	37
hsa-miR-33b-3p|MIMAT0004811	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	NA	1	2	5	1	3	2	NA	1	1	3	NA	NA	1	NA	1	NA	NA	2	1	2	2	NA	NA	2	4	4	NA	1	NA	1	2	2	4
hsa-miR-632|MIMAT0003302	NA	NA	2	1	4	NA	2	NA	NA	1	NA	1	5	NA	1	1	1	NA	6	2	NA	1	1	NA	1	1	1	NA	2	NA	NA	NA	NA	1	NA	1	2	NA	4	1	2	1	2	NA	3
hsa-miR-633|MIMAT0003303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-634|MIMAT0003304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-635|MIMAT0003305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-636|MIMAT0003306	1	1	NA	NA	1	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	2	2	1	1	NA	NA	NA
hsa-miR-637|MIMAT0003307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
