Gene	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CR-01A-11R-A38N-13	TCGA-FF-A7CW-01A-11R-A38N-13	TCGA-FF-A7CX-01A-12R-A38N-13	TCGA-FM-8000-01A-11R-2212-13	TCGA-G8-6324-01A-11R-2212-13	TCGA-G8-6325-01A-11R-2212-13	TCGA-G8-6326-01A-11R-2212-13	TCGA-G8-6906-01A-11R-2212-13	TCGA-G8-6907-01A-11R-2212-13	TCGA-G8-6909-01A-11R-2212-13	TCGA-G8-6914-01A-11R-2212-13	TCGA-GR-7353-01A-11R-2212-13	TCGA-GR-A4D4-01A-11R-A31S-13	TCGA-GR-A4D5-01A-11R-A31S-13	TCGA-GR-A4D6-01A-11R-A31S-13	TCGA-GR-A4D9-01B-11R-A31S-13	TCGA-GS-A9TQ-01A-11R-A38N-13	TCGA-GS-A9TT-01A-11R-A38N-13	TCGA-GS-A9TU-01A-11R-A38N-13	TCGA-GS-A9TV-01A-11R-A38N-13	TCGA-GS-A9TW-01A-11R-A38N-13	TCGA-GS-A9TX-01A-11R-A38N-13	TCGA-GS-A9TY-01A-11R-A39J-13	TCGA-GS-A9TZ-01A-11R-A39J-13	TCGA-GS-A9U3-01A-11R-A39J-13	TCGA-GS-A9U4-01A-11R-A39J-13	TCGA-RQ-A68N-01A-11R-A31S-13	TCGA-RQ-A6JB-01A-11R-A31S-13	TCGA-RQ-AAAT-01A-11R-A39J-13	TCGA-VB-A8QN-01A-11R-A38N-13
hsa-miR-935|MIMAT0004978	4	2	3	1	1	1	1	6	NA	7	2	NA	3	2	1	2	NA	7	3	9	2	2	2	1	1	NA	2	7	6	2	4	1	NA	3	5	7	1	NA	5	2	3	NA	1	1	2	13	1
hsa-miR-936|MIMAT0004979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-937-3p|MIMAT0004980	4	6	5	2	2	9	24	10	2	11	8	24	2	2	24	8	4	8	4	17	2	6	10	1	7	4	9	1	38	67	2	3	3	6	13	6	4	4	3	5	NA	1	6	3	2	3	9
hsa-miR-938|MIMAT0004981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-939-5p|MIMAT0004982	3	NA	NA	3	NA	1	11	4	6	10	8	9	5	5	2	5	1	6	3	18	4	6	8	7	3	8	5	NA	15	2	2	3	1	15	8	8	2	1	9	1	5	4	5	NA	7	1	5
hsa-miR-940|MIMAT0004983	2	2	3	7	NA	3	8	9	11	8	1	47	3	3	13	4	NA	10	1	20	8	11	13	15	3	5	5	6	15	27	6	7	4	4	3	8	3	NA	6	NA	2	6	3	4	6	NA	2
hsa-miR-941|MIMAT0004984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-942-5p|MIMAT0004985	141	42	84	72	38	225	257	189	212	334	158	346	154	89	224	186	100	184	110	281	86	122	105	209	176	168	292	55	76	233	149	58	37	94	102	235	107	70	143	234	51	46	178	86	99	135	93
hsa-miR-943|MIMAT0004986	NA	NA	1	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	6	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
hsa-miR-944|MIMAT0004987	15	13	58	262	4	40	881	139	144	406	169	155	9	9	365	22	197	224	25	17	194	334	29	36	117	5	38	13	25	104	30	22	20	36	44	339	98	192	118	3	140	7	21	51	71	9	175
hsa-miR-297|MIMAT0004450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1178-3p|MIMAT0005823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1179|MIMAT0005824	NA	1	NA	1	NA	1	1	10	2	NA	NA	NA	1	1	NA	1	NA	1	1	4	NA	2	1	1	NA	2	NA	NA	1	1	NA	1	NA	1	NA	2	NA	NA	2	2	1	1	1	1	2	NA	1
hsa-miR-1180-3p|MIMAT0005825	8	9	2	18	22	13	19	40	26	34	17	45	17	60	8	41	13	29	31	39	16	50	20	25	34	26	17	16	76	33	28	23	8	11	26	41	9	10	37	9	5	24	38	6	21	62	29
hsa-miR-1181|MIMAT0005826	NA	1	NA	2	1	1	NA	NA	2	1	1	4	1	NA	1	1	1	1	2	1	2	NA	2	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1182|MIMAT0005827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1183|MIMAT0005828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1184|MIMAT0005829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1225-5p|MIMAT0005572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1225-3p|MIMAT0005573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
hsa-miR-1226-5p|MIMAT0005576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA
hsa-miR-1226-3p|MIMAT0005577	2	3	4	NA	7	1	4	8	4	14	8	6	2	5	8	5	NA	9	7	11	5	5	18	12	3	4	3	3	70	3	3	3	1	3	4	7	1	3	6	2	2	5	2	1	3	1	3
hsa-miR-1227-3p|MIMAT0005580	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	2	NA	2	NA	NA	NA	2	1	1	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
hsa-miR-1228-5p|MIMAT0005582	4	2	4	2	2	2	6	4	3	4	3	7	NA	7	5	4	1	6	2	1	2	3	12	21	3	1	NA	1	1	NA	4	2	1	NA	2	5	1	NA	2	2	2	1	3	1	2	2	NA
hsa-miR-1228-3p|MIMAT0005583	2	5	3	1	2	2	5	5	2	7	4	3	1	4	3	NA	NA	12	2	4	5	1	11	31	3	NA	1	4	8	NA	2	NA	2	3	3	4	5	1	NA	NA	2	2	4	5	5	1	NA
hsa-miR-1229-3p|MIMAT0005584	3	2	3	1	3	NA	3	NA	6	6	2	3	NA	1	1	2	2	1	1	2	3	6	6	5	5	3	3	1	35	4	4	1	NA	2	1	1	2	NA	1	1	1	3	3	NA	5	2	1
hsa-miR-1231|MIMAT0005586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1233-3p|MIMAT0005588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1234-3p|MIMAT0005589	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	3	1	NA	NA	1	1	NA	NA	NA
hsa-miR-1236-3p|MIMAT0005591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1237-3p|MIMAT0005592	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	1	3	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
hsa-miR-1238-3p|MIMAT0005593	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1200|MIMAT0005863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1202|MIMAT0005865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1203|MIMAT0005866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-663b|MIMAT0005867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1204|MIMAT0005868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1205|MIMAT0005869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1206|MIMAT0005870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1207-5p|MIMAT0005871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1207-3p|MIMAT0005872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1208|MIMAT0005873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548e-3p|MIMAT0005874	6	7	NA	5	9	14	21	14	14	8	7	1	1	4	6	3	7	21	2	13	1	4	5	11	2	8	NA	1	NA	9	5	12	7	2	8	10	4	4	8	NA	4	4	2	1	8	1	2
hsa-miR-548j-5p|MIMAT0005875	4	1	4	4	NA	16	8	16	16	3	9	7	3	6	1	4	1	29	3	8	2	6	6	8	10	5	7	2	7	9	2	4	4	9	4	11	1	1	12	NA	5	2	6	1	4	NA	3
hsa-miR-1285-3p|MIMAT0005876	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1286|MIMAT0005877	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1287-5p|MIMAT0005878	42	13	11	26	36	46	67	144	60	50	22	31	34	21	37	90	245	38	24	31	20	102	73	59	42	34	64	27	74	26	42	36	10	8	41	80	45	13	112	12	24	41	33	15	23	36	37
hsa-miR-1289|MIMAT0005879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1290|MIMAT0005880	1	NA	NA	NA	1	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	13	NA	NA	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1291|MIMAT0005881	4	2	NA	1	NA	3	7	5	1	NA	7	10	3	NA	1	2	NA	NA	3	26	1	7	2	3	4	NA	4	1	3	11	2	7	1	3	2	6	3	2	NA	NA	1	2	1	5	NA	1	1
hsa-miR-548k|MIMAT0005882	NA	1	1	NA	NA	4	4	3	5	2	2	2	1	NA	1	1	5	5	NA	3	1	2	2	3	2	3	NA	1	2	1	3	1	1	1	2	6	1	NA	2	NA	1	NA	1	1	1	NA	1
hsa-miR-1293|MIMAT0005883	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	4	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	NA	2	1	NA	1	1
hsa-miR-1294|MIMAT0005884	NA	2	2	1	NA	NA	1	1	1	NA	NA	NA	1	NA	NA	2	1	1	NA	NA	NA	5	NA	2	1	1	NA	1	1	1	3	1	NA	NA	2	1	NA	1	3	NA	1	NA	NA	1	NA	NA	1
hsa-miR-1295a|MIMAT0005885	4	2	2	6	2	19	261	2	27	42	1	6	38	27	4	2	4	29	1	NA	NA	31	2	2	NA	NA	48	NA	15	1	6	10	6	1	30	249	2	3	8	NA	1	10	NA	2	1	NA	1
hsa-miR-1297|MIMAT0005886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1299|MIMAT0005887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548l|MIMAT0005889	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	1	NA	NA	1	3	2	1	2	1	1	2	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA
hsa-miR-1302|MIMAT0005890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1303|MIMAT0005891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1304-5p|MIMAT0005892	4	5	6	6	6	1	5	20	3	9	2	1	NA	NA	3	2	5	8	NA	6	NA	1	2	11	6	3	7	NA	4	3	14	9	NA	3	6	1	3	NA	12	2	1	1	4	NA	9	1	7
hsa-miR-1305|MIMAT0005893	NA	1	2	1	NA	NA	2	8	7	26	1	5	NA	NA	NA	NA	1	NA	4	2	NA	NA	3	1	NA	NA	1	1	1	7	1	NA	NA	2	NA	1	3	3	11	NA	9	5	2	NA	1	NA	NA
hsa-miR-1243|MIMAT0005894	NA	NA	NA	NA	NA	NA	3	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	1	1	NA	NA	NA	2	NA	1	NA	NA	NA	2	1	1	2	1	NA	NA	2	NA	NA	NA	1	2
hsa-miR-548f-3p|MIMAT0005895	NA	NA	NA	2	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
hsa-miR-1244|MIMAT0005896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1245a|MIMAT0005897	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
hsa-miR-1246|MIMAT0005898	1	NA	NA	NA	1	3	NA	NA	NA	NA	33	NA	32	NA	NA	9	NA	NA	1	1	1	NA	NA	1	6	2	1	NA	NA	53	NA	NA	NA	1	8	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
hsa-miR-1247-5p|MIMAT0005899	1	6	NA	117	34	11	5	76	131	2	NA	8	12	31	4	13	20	13	14	13	4	56	20	32	4	47	16	3	231	4	40	65	6	7	7	28	13	4	56	3	5	33	NA	11	3	18	22
hsa-miR-1248|MIMAT0005900	5	3	NA	3	NA	7	1	10	2	NA	1	6	1	NA	NA	1	NA	NA	6	10	NA	2	1	6	NA	3	3	1	1	1	1	NA	1	5	3	5	1	3	NA	NA	NA	5	4	7	NA	2	2
hsa-miR-1249-3p|MIMAT0005901	1	9	3	17	6	3	5	9	13	7	6	9	3	6	1	7	NA	18	4	6	6	3	15	12	4	4	6	7	20	11	14	9	NA	2	3	44	2	1	11	NA	5	6	4	6	10	1	12
hsa-miR-1250-5p|MIMAT0005902	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	2	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	2	NA	NA	NA	1	NA
hsa-miR-1251-5p|MIMAT0005903	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	108	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	10	2
hsa-miR-1253|MIMAT0005904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1254|MIMAT0005905	2	1	4	4	3	14	71	13	10	22	4	30	5	4	8	3	12	33	13	3	3	2	NA	3	2	12	3	1	7	10	6	15	2	2	3	7	5	1	25	3	4	3	2	3	6	6	7
hsa-miR-1255a|MIMAT0005906	2	2	1	NA	NA	NA	NA	NA	2	3	NA	NA	2	NA	NA	NA	NA	3	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA	1	3	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA
hsa-miR-1256|MIMAT0005907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1257|MIMAT0005908	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1258|MIMAT0005909	6	1	2	5	6	1	1	17	6	5	33	3	105	NA	29	8	1	1	2	135	NA	NA	2	8	NA	5	NA	1	3	120	1	6	1	1	NA	5	NA	NA	NA	1	NA	1	NA	NA	1	3	1
hsa-miR-1260a|MIMAT0005911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548g-3p|MIMAT0005912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1261|MIMAT0005913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1262|MIMAT0005914	2	1	3	NA	NA	3	NA	5	2	1	NA	1	NA	NA	1	7	NA	1	1	1	2	NA	2	2	2	3	NA	1	2	1	2	2	1	1	3	3	NA	2	1	1	1	NA	2	NA	NA	NA	3
hsa-miR-1263|MIMAT0005915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548n|MIMAT0005916	NA	NA	1	NA	NA	2	1	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
hsa-miR-548m|MIMAT0005917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1265|MIMAT0005918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-548o-3p|MIMAT0005919	3	1	1	3	5	8	10	7	3	10	4	8	2	3	4	4	5	8	4	5	4	4	5	6	1	8	4	3	4	8	4	2	1	4	2	5	4	NA	10	2	2	3	1	3	3	NA	4
hsa-miR-1266-5p|MIMAT0005920	5	1	12	2	1	1	3	2	6	2	2	2	8	2	5	9	6	10	1	NA	NA	6	3	1	2	4	3	NA	7	3	8	3	10	NA	8	13	1	NA	1	3	NA	2	1	1	NA	1	46
hsa-miR-1267|MIMAT0005921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
